#NAME?;Trade Close;% Move;Wmv;W%mv;Mthmv;Mth%mv;DMTmv
11/05/2020;865,75;0,52%;15,5;1,82%;-7,5;-0,86%;1,65
08/05/2020;861,25;0,73%;14;1,65%;-12,25;-1,40%;2,30
07/05/2020;855;1,39%;-5,25;-0,61%;-19,25;-2,20%;4,32
06/05/2020;843,25;-0,82%;-22,75;-2,63%;-29,75;-3,41%;-2,57
05/05/2020;850,25;0,35%;2;0,24%;-27,25;-3,11%;1,10
04/05/2020;847,25;-1,51%;4,5;0,53%;-34,25;-3,89%;-4,78
01/05/2020;860,25;-0,66%;13;1,53%;-44,5;-4,92%;-2,11
30/04/2020;866;2,09%;15,75;1,85%;-35;-3,88%;6,52
29/04/2020;848,25;0,65%;-9,25;-1,08%;-52;-5,78%;2,02
28/04/2020;842,75;-0,53%;-10,5;-1,23%;-56,25;-6,26%;-1,65
27/04/2020;847,25;-0,35%;-4,25;-0,50%;-53;-5,89%;-1,10
24/04/2020;850,25;-0,85%;3,25;0,38%;-55,25;-6,10%;-2,66
23/04/2020;857,5;0,50%;4,5;0,53%;-45,25;-5,01%;1,56
22/04/2020;853,25;0,21%;-3,25;-0,38%;-28;-3,18%;0,64
21/04/2020;851,5;0,53%;-11;-1,28%;-10,5;-1,22%;1,65
20/04/2020;847;-0,70%;-19,25;-2,22%;2,75;0,33%;-2,20
17/04/2020;853;-0,41%;-20;-2,29%;10;1,19%;-1,29
16/04/2020;856,5;-0,70%;-25,75;-2,92%;16;1,90%;-2,20
15/04/2020;862,5;-0,43%;-10,75;-1,23%;-5;-0,58%;-1,38
14/04/2020;866,25;-0,77%;-7,25;-0,83%;-12;-1,37%;-2,48
13/04/2020;873;-1,05%;-1,25;-0,14%;-19;-2,13%;-3,40
09/04/2020;882,25;1,03%;9,25;1,06%;-12,75;-1,42%;3,31
08/04/2020;873,25;-0,03%;-4,25;-0,48%;-15,5;-1,74%;-0,09
07/04/2020;873,5;-0,09%;-8;-0,91%;-36,5;-4,01%;-0,28
06/04/2020;874,25;0,14%;-30,5;-3,37%;-41,5;-4,53%;0,46
03/04/2020;873;-0,51%;-28;-3,11%;-53;-5,72%;-1,65
02/04/2020;877,5;-0,45%;-22,75;-2,53%;-44,75;-4,85%;-1,47
01/04/2020;881,5;-2,57%;-17,5;-1,95%;-38,25;-4,16%;-8,54
31/03/2020;904,75;0,42%;4,5;0,50%;-6,75;-0,74%;1,38
30/03/2020;901;0,08%;-4,5;-0,50%;-12,75;-1,40%;0,28
